n,T,method,mean_kernel_μs,std_kernel_μs
3100000,Float32,Forge v8,45.20416259765625,2.1536998349449568
3100000,Float32,CUDA,39.196014404296875,1.6449154196415272
3100000,UInt8,Forge v1,41.937828063964844,0.17592067417445703
3100000,UInt8,Forge v4,11.944770812988281,0.2087581242968829
3100000,UInt8,Forge v8,7.939338684082031,0.2764467737027182
3100000,UInt8,CUDA,7.891654968261719,0.2087581242968829
3200000,Float32,Forge v1,86.64131164550781,2.136031777360578
3200000,Float32,Forge v4,64.13459777832031,7.861790133804466
3200000,Float32,Forge v8,76.4608383178711,3.8722941910369175
3200000,Float32,CUDA,69.5943832397461,2.0828864698214944
3200000,UInt8,Forge v1,43.201446533203125,0.15078914929239173
3200000,UInt8,Forge v4,12.302398681640625,0.23033423020346067
3200000,UInt8,Forge v8,8.106231689453125,0.15894571940104166
3200000,UInt8,CUDA,7.939338684082031,0.22618372393858763
3300000,Float32,Forge v1,103.2114028930664,1.9866625404352825
3300000,Float32,Forge v4,84.20944213867188,4.891036396388766
3300000,Float32,Forge v8,91.91036224365234,3.362838441790849
3300000,Float32,CUDA,90.98052978515625,2.8147307867913125
3300000,UInt8,Forge v1,44.608116149902344,0.17592067417445703
3300000,UInt8,Forge v4,12.636184692382812,0.2513152488206529
3300000,UInt8,Forge v8,8.273124694824219,0.19628348406519047
3300000,UInt8,CUDA,8.034706115722656,0.22618372393858763
3400000,Float32,Forge v1,128.2215118408203,1.9654073644828325
3400000,Float32,Forge v4,109.21955108642578,7.384948939274253
3400000,Float32,Forge v8,116.49131774902344,4.164863150470495
3400000,Float32,CUDA,113.22498321533203,3.2035548190326693
3400000,UInt8,Forge v1,45.7763671875,0.15894571940104166
3400000,UInt8,Forge v4,13.017654418945312,0.23033423020346067
3400000,UInt8,Forge v8,8.559226989746094,0.2087581242968829
3400000,UInt8,CUDA,8.177757263183594,0.22618372393858763
3500000,Float32,Forge v1,153.82766723632812,1.1989607598397642
3500000,Float32,Forge v4,140.40470123291016,7.643826728801403
3500000,Float32,Forge v8,146.07906341552734,2.739336212145117
3500000,Float32,CUDA,144.2432403564453,4.077197818241329
3500000,UInt8,Forge v1,47.15919494628906,0.2462376496764766
3500000,UInt8,Forge v4,13.399124145507812,0.1880671114317454
3500000,UInt8,Forge v8,8.726119995117188,0.16670367688658264
3500000,UInt8,CUDA,8.463859558105469,0.23170121092976334
3600000,Float32,Forge v1,158.3099365234375,0.3178914388020833
3600000,Float32,Forge v4,143.4326171875,7.0933255953336625
3600000,Float32,Forge v8,150.48980712890625,2.396867719795775
3600000,Float32,CUDA,149.4884490966797,5.001110306597479
3600000,UInt8,Forge v1,48.470497131347656,0.11516711510173033
3600000,UInt8,Forge v4,13.73291015625,0.20105219905652233
3600000,UInt8,Forge v8,9.107589721679688,0.27067480668904625
3600000,UInt8,CUDA,8.58306884765625,0.19466795466607237
3700000,Float32,Forge v1,160.62259674072266,0.9271455181814755
3700000,Float32,Forge v4,145.7691192626953,7.8103668766100585
3700000,Float32,Forge v8,155.18665313720703,2.0150719310462306
3700000,Float32,CUDA,151.18122100830078,6.052942245715084
3700000,UInt8,Forge v1,49.757957458496094,0.19628348406519047
3700000,UInt8,Forge v4,13.995170593261719,0.22618372393858763
3700000,UInt8,Forge v8,9.179115295410156,0.20261683120698867
3700000,UInt8,CUDA,8.654594421386719,0.160920276095999
3800000,Float32,Forge v1,169.56329345703125,0.29308142526286085
3800000,Float32,Forge v4,155.13896942138672,5.081355687924995
3800000,Float32,Forge v8,160.28881072998047,1.8605816855551407
3800000,Float32,CUDA,159.16824340820312,2.475678440403943
3800000,UInt8,Forge v1,50.99773406982422,0.2623808228050737
3800000,UInt8,Forge v4,14.424324035644531,0.12565762441032646
3800000,UInt8,Forge v8,9.417533874511719,0.25752149814001163
3800000,UInt8,CUDA,8.797645568847656,0.17592067417445703
3900000,Float32,Forge v1,172.78194427490234,0.8563177583726869
3900000,Float32,Forge v4,157.28473663330078,3.686804122367364
3900000,Float32,Forge v8,164.3657684326172,2.4422877429016125
3900000,Float32,CUDA,162.91141510009766,2.926608965208364
3900000,UInt8,Forge v1,52.38056182861328,0.19628348406519047
3900000,UInt8,Forge v4,14.710426330566406,0.160920276095999
3900000,UInt8,Forge v8,9.679794311523438,0.1231188248382383
3900000,UInt8,CUDA,8.988380432128906,0.11516711510173033
4000000,Float32,Forge v1,176.33438110351562,1.2219194471856798
4000000,Float32,Forge v4,161.93389892578125,3.2297676316572947
4000000,Float32,Forge v8,169.5394515991211,0.9632294194619299
4000000,Float32,CUDA,166.22543334960938,2.936842083227028
4000000,UInt8,Forge v1,53.811073303222656,0.252568699233861
4000000,UInt8,Forge v4,15.139579772949219,0.20261683120698867
4000000,UInt8,Forge v8,9.942054748535156,0.252568699233861
4000000,UInt8,CUDA,9.1552734375,0.23033423020346067
4100000,Float32,Forge v1,182.15179443359375,0.9199648620915593
4100000,Float32,Forge v4,164.2465591430664,2.411709961116066
4100000,Float32,Forge v8,173.0203628540039,2.1326286836689454
4100000,Float32,CUDA,170.70770263671875,2.462376496764766
4100000,UInt8,Forge v1,54.97932434082031,0.16670367688658264
4100000,UInt8,Forge v4,15.44952392578125,0.1880671114317454
4100000,UInt8,Forge v8,10.085105895996094,0.160920276095999
4100000,UInt8,CUDA,9.489059448242188,0.27067480668904625
4200000,Float32,Forge v1,187.44468688964844,0.8243753102550468
4200000,Float32,Forge v4,171.35143280029297,3.8788129350833724
4200000,Float32,Forge v8,179.14772033691406,1.6217137579199103
4200000,Float32,CUDA,176.69200897216797,2.3100506150177917
4200000,UInt8,Forge v1,56.290626525878906,0.237090331557215
4200000,UInt8,Forge v4,15.735626220703125,0.2513152488206529
4200000,UInt8,Forge v8,10.204315185546875,0.15078914929239173
4200000,UInt8,CUDA,9.632110595703125,0.34090058945858026
4300000,Float32,Forge v1,191.64085388183594,1.564626655874216
4300000,Float32,Forge v4,175.97675323486328,3.294914476715812
4300000,Float32,Forge v8,184.65518951416016,0.9814174203259524
4300000,Float32,CUDA,182.1756362915039,2.3318209216849684
4300000,UInt8,Forge v1,57.578086853027344,0.16858739404357612
4300000,UInt8,Forge v4,16.164779663085938,0.1880671114317454
4300000,UInt8,Forge v8,10.442733764648438,0.2462376496764766
4300000,UInt8,CUDA,10.466575622558594,2.5268120478489364
4400000,Float32,Forge v1,194.07272338867188,1.443696190880533
4400000,Float32,Forge v4,181.1981201171875,3.278676882542971
4400000,Float32,Forge v8,188.15994262695312,1.7548931919549973
4400000,Float32,CUDA,187.37316131591797,1.607042624484297
4400000,UInt8,Forge v1,58.98475646972656,0.2562922715599871
4400000,UInt8,Forge v4,16.498565673828125,0.2190915545160011
4400000,UInt8,Forge v8,10.585784912109375,0.1231188248382383
4400000,UInt8,CUDA,9.846687316894531,0.29842032361854853
4500000,Float32,Forge v1,198.10199737548828,2.2880731800098566
4500000,Float32,Forge v4,186.84864044189453,4.033668461660173
4500000,Float32,Forge v8,193.38130950927734,1.2588360493450876
4500000,Float32,CUDA,192.3084259033203,2.8057408858764936
4500000,UInt8,Forge v1,60.22453308105469,0.27985281724387817
4500000,UInt8,Forge v4,16.808509826660156,0.3418256945229621
4500000,UInt8,Forge v8,10.991096496582031,0.17592067417445703
4500000,UInt8,CUDA,10.013580322265625,0.19466795466607237
4600000,Float32,Forge v1,203.60946655273438,2.614161841614807
4600000,Float32,Forge v4,194.64492797851562,4.299180554403732
4600000,Float32,Forge v8,199.00798797607422,1.5534860563946975
4600000,Float32,CUDA,199.9378204345703,3.0639853820855434
4600000,UInt8,Forge v1,61.55967712402344,0.1880671114317454
4600000,UInt8,Forge v4,17.118453979492188,0.15078914929239173
4600000,UInt8,Forge v8,11.181831359863281,0.17592067417445703
4600000,UInt8,CUDA,10.180473327636719,0.22618372393858763
4700000,Float32,Forge v1,210.5236053466797,1.6670367688658263
4700000,Float32,Forge v4,199.10335540771484,3.9296094628232394
4700000,Float32,Forge v8,203.22799682617188,1.6715770499083082
4700000,Float32,CUDA,204.39624786376953,3.8788129350833724
4700000,UInt8,Forge v1,62.79945373535156,0.1231188248382383
4700000,UInt8,Forge v4,17.547607421875,0.20105219905652233
4700000,UInt8,Forge v8,11.324882507324219,0.16858739404357612
4700000,UInt8,CUDA,10.49041748046875,0.2513152488206529
4800000,Float32,Forge v1,213.623046875,1.8873758454383083
4800000,Float32,Forge v4,205.6598663330078,4.796369794595899
4800000,Float32,Forge v8,207.23342895507812,1.8150459828211718
4800000,Float32,CUDA,209.71298217773438,2.5535410192275307
4800000,UInt8,Forge v1,64.20612335205078,0.29842032361854853
4800000,UInt8,Forge v4,17.85755157470703,0.17592067417445703
4800000,UInt8,Forge v8,11.610984802246094,0.160920276095999
4800000,UInt8,CUDA,10.395050048828125,0.1231188248382383
4900000,Float32,Forge v1,217.2708511352539,2.462504742201001
4900000,Float32,Forge v4,210.45207977294922,4.166151959827711
4900000,Float32,Forge v8,213.6707305908203,2.2189869896941192
4900000,Float32,CUDA,214.40982818603516,3.3793257980159783
4900000,UInt8,Forge v1,65.4458999633789,0.20261683120698867
4900000,UInt8,Forge v4,18.143653869628906,0.13533740334452313
4900000,UInt8,Forge v8,11.754035949707031,0.19628348406519047
4900000,UInt8,CUDA,10.68115234375,0.27067480668904625
5000000,Float32,Forge v1,225.52013397216797,3.2814689260856533
5000000,Float32,Forge v4,214.67208862304688,3.8017609913926447
5000000,Float32,Forge v8,217.1039581298828,2.323001341049844
5000000,Float32,CUDA,219.7742462158203,2.5276867448231832
5000000,UInt8,Forge v1,66.7572021484375,0.19466795466607237
5000000,UInt8,Forge v4,18.644332885742188,0.2190915545160011
5000000,UInt8,Forge v8,12.087821960449219,0.19628348406519047
5000000,UInt8,CUDA,10.848045349121094,0.20261683120698867
5100000,Float32,Forge v1,226.2115478515625,3.481963476182289
5100000,Float32,Forge v4,219.6788787841797,5.17147918689298
5100000,Float32,Forge v8,221.9676971435547,3.449524945292585
5100000,Float32,CUDA,224.8525619506836,3.6253041298850657
5100000,UInt8,Forge v1,68.04466247558594,0.20105219905652233
