n,T,method,mean_kernel_μs,std_kernel_μs,mean_total_μs,std_total_μs
27094,Float32,Forge v8,2.5987625122070312,0.13533740334452313,37.204800000000006,48.42087095641484
27094,Float32,Forge v16,4.363059997558594,0.252568699233861,39.9809,48.721498087371835
27598,Float32,CUDA,1.7404556274414062,0.160920276095999,41.9785,43.66924883268673
27598,Float32,Forge v1,1.8596649169921875,0.2462376496764766,34.983,45.51337043111617
27598,Float32,Forge v4,2.2411346435546875,0.16670367688658264,50.1959,56.7084579238406
27598,Float32,Forge v8,2.7418136596679688,0.12565762441032646,38.4748,50.02190825317333
27598,Float32,Forge v16,4.315376281738281,0.13533740334452313,40.026300000000006,48.867758337169505
28112,Float32,CUDA,1.7881393432617188,0.20261683120698867,30.0856,39.07151738429301
28112,Float32,Forge v1,1.8835067749023438,0.17592067417445703,37.4165,50.93181160303123
28112,Float32,Forge v4,2.09808349609375,0.2462376496764766,37.7757,49.57327568817251
28112,Float32,Forge v8,2.6464462280273438,0.17592067417445703,39.278800000000004,49.23499412409836
28112,Float32,Forge v16,4.2438507080078125,0.15078914929239173,36.4483,40.8810499730621
28636,Float32,CUDA,1.8835067749023438,0.13533740334452313,42.5694,43.04006581263039
28636,Float32,Forge v1,1.8835067749023438,0.17592067417445703,33.2576,41.43117653866201
28636,Float32,Forge v4,2.2411346435546875,0.20105219905652233,52.9595,52.660891534104
28636,Float32,Forge v8,2.5987625122070312,0.237090331557215,42.9225,61.76589683681081
28636,Float32,Forge v16,4.315376281738281,0.13533740334452313,45.556599999999996,61.7315694460028
29170,Float32,CUDA,1.8358230590820312,0.22618372393858763,31.2561,39.528191909769355
29170,Float32,Forge v1,1.9311904907226562,0.237090331557215,43.2288,64.03152374815949
29170,Float32,Forge v4,2.2649765014648438,0.20261683120698867,39.8176,54.2035957359944
29170,Float32,Forge v8,2.7179718017578125,0.23033423020346067,38.4615,53.23772310276489
29170,Float32,Forge v16,4.220008850097656,0.160920276095999,58.5763,87.67635090496816
29713,Float32,CUDA,1.7404556274414062,0.19628348406519047,37.2895,55.08345544363671
29713,Float32,Forge v1,1.9311904907226562,0.2087581242968829,34.372800000000005,44.32772416595887
