Ns,v1,v4
36700000,0.0016935941778154107,0.0018052507743682314
36800000,0.0017063323341858494,0.0018208287552320282
36900000,0.0017611488389084509,0.0018377693856749299
37000000,0.0017245867137931036,0.0018439020617511523
37100000,0.0017169784240343342,0.0018546919110287304
37200000,0.001731043623702422,0.0018569163942486076
37300000,0.001759846353562005,0.0018605748781395357
37400000,0.001737325868923611,0.0018610888306976744
37500000,0.0017429435034843207,0.0018470923361034173
37600000,0.001764931650793651,0.0019018784762357408
37700000,0.0017800607873665478,0.0018732590692883892
37800000,0.0017483230131118892,0.0018693134457943926
37900000,0.0017578713251318108,0.0018737217528089903
38000000,0.0017547858771929828,0.0018727285889513126
38100000,0.0018381035133149697,0.001895470083333333
38200000,0.0017687823068081347,0.0019018315361216725
38300000,0.0017717461576616468,0.0019200530182341656
38400000,0.0017812674051647366,0.0019004582497625822
38500000,0.0017988105710431653,0.001923951455769232
38600000,0.0018085963074141035,0.0019199773426103646
38700000,0.0018027773765765765,0.0019342750638297872
38800000,0.0018004503213321314,0.0019373614123910931
38900000,0.0018107746416289594,0.0019222310845340993
39000000,0.0018112279040723986,0.0019265085216554386
39100000,0.0018148828275862067,0.0019336567188405793
39200000,0.0018193889672727267,0.002011453236180902
39300000,0.0018310759304666047,0.001951894181463414
39400000,0.0018627426284916209,0.001965554446954812
39500000,0.0018581724141132803,0.0019652106237721028
39600000,0.0018359971192660534,0.0019563280967741974
39700000,0.001863016770949719,0.001979087593471812
39800000,0.001859500168215614,0.001975870039486671
39900000,0.0018715791674462122,0.0019986145844155864
40000000,0.001851898443518519,0.001986280577954324
40100000,0.0018655002041006537,0.0019868171757696108
40200000,0.001866582343283582,0.001985095963293653
40300000,0.001862033825116279,0.002064982074303406
40400000,0.0019005945954415945,0.001983917097125867
40500000,0.0018827656754468495,0.002000009456999999
40600000,0.001903653449096099,0.0020343507713414637
40700000,0.0019196844433781188,0.0020257384676113364
40800000,0.0019076532821734975,0.0020270791043566377
40900000,0.0018847647372881365,0.0020196765549949543
41000000,0.0018992354905123323,0.0020365831017294
41100000,0.001930209761812921,0.0020366933085539723
41200000,0.001911615595033429,0.0020300243022312358
41300000,0.001910941226361032,0.0020372627464358465
41400000,0.0019866753704071483,0.0020739114860103608
41500000,0.0019228209634966392,0.002054350503080082
41600000,0.0019324204618357467,0.0020820007107180023
41700000,0.001933915237681161,0.0020663376373966967
41800000,0.0019287540829315342,0.0020709399906832307
41900000,0.0019651225058939094,0.0020987455718782773
42000000,0.0019500691627680313,0.002064556490196076
42100000,0.00196406327772326,0.002099155621196223
42200000,0.0019573214902152626,0.002076784934647303
42300000,0.001969616181102363,0.002100961712184874
42400000,0.0019631799538763497,0.002188506908096279
42500000,0.0019762569516288274,0.002114981406976746
42600000,0.0019767431136363655,0.002134774077908219
42700000,0.0019938011772908356,0.002136973952991454
42800000,0.0019901959910447785,0.0021305652428115027
42900000,0.001981322381188119,0.002118715340042374
43000000,0.001998683102897103,0.0021567141950431063
43100000,0.002036841992871691,0.0021779172589771498
43200000,0.0019931890488047816,0.0021300358072417445
43300000,0.00200980599698795,0.002132973783582089
43400000,0.002007651123370109,0.0022584604898419893
43500000,0.0020274176980749747,0.0021983356714285725
43600000,0.00205143114051282,0.0021759987097826083
43700000,0.0020232772194135502,0.0021719602442996744
43800000,0.002021178184848483,0.0021972274028540057
43900000,0.002047119333674513,0.002192766983570646
44000000,0.0020419628061224483,0.0021991840747252757
44100000,0.002050975069672131,0.0022041115418502183
44200000,0.0020533043251282023,0.0021705658167028206
44300000,0.002037514290224034,0.002178656831154685
44400000,0.002045023916155421,0.00226661621630804
44500000,0.002085246783333334,0.00221538099889258
44600000,0.002088602233820458,0.002233316649553571
44700000,0.002090700458725182,0.0022249352669632917
44800000,0.00210713131894737,0.002220152795782461
44900000,0.0020872659843587087,0.0022364502927374286
45000000,0.0020991572686253923,0.0022529726869369385
45100000,0.002076661771784232,0.002230551460423637
45200000,0.0020801276798336787,0.002221678144284131
45300000,0.002089966985370952,0.002294113762614678
45400000,0.002193836687499999,0.0022725053734392706
45500000,0.002120314787076272,0.0022918151214203885
45600000,0.0021160100412262162,0.0022772872036405005
45700000,0.0021315119648562266,0.0022867727040000005
45800000,0.002127689522340425,0.0022866421097142843
45900000,0.002145393366559482,0.002295601806192661
46000000,0.0021607694978401744,0.0022712307900113514
46100000,0.0021258849638682233,0.002274802399999999
46200000,0.002129603087234042,0.0022734252363636382
46300000,0.0021422797323340445,0.002393716533492822
46400000,0.002163989678918919,0.0023149838356481506
46500000,0.002158299118662353,0.002324172704994191
46600000,0.002149816309344791,0.0023097401154734427
46700000,0.0021677329588299025,0.0023209428747099775
46800000,0.002167886470205853,0.002342718409836065
46900000,0.002183853650655021,0.002352664403055232
47000000,0.002182983498364233,0.002325719915116279
47100000,0.002161252393088557,0.0023205857587006973
47200000,0.0021704945140997817,0.0023255068013937276
47300000,0.00228638429942857,0.002370368492890997
47400000,0.002188709648796504,0.002376319314726839
47500000,0.0022123669646408814,0.002375394366548042
47600000,0.0022337059720982156,0.0023821332892857124
47700000,0.0022100594607734813,0.002393706520334928
47800000,0.002227905858574609,0.002372366681279621
47900000,0.0022272778485523345,0.0023733168873072354
48000000,0.0022124376493362816,0.00236478534397163
48100000,0.002219649910199558,0.0023734295100830364
48200000,0.0023337523733955668,0.0023995126930455627
48300000,0.0022532330968468477,0.0024185537920193498
48400000,0.002260057238418079,0.002406797132370636
48500000,0.0022731057034090897,0.002424717569696971
48600000,0.002269595938775511,0.0024325957448359673
48700000,0.0022702639750283755,0.0024033309447779112
48800000,0.0022739749920454525,0.0024181164299516902
48900000,0.002242501028026906,0.002401280160864347
49000000,0.002257731730248308,0.0024066744579326915
49100000,0.0023778678800475076,0.0024380752180267963
49200000,0.002280516749430523,0.0024416446939024396
49300000,0.0022969477944890936,0.002459896249385747
49400000,0.002328582945285217,0.0024854746795031067
49500000,0.00231117659699769,0.0024729496254635346
49600000,0.0023014966098964347,0.0024768207883663395
49700000,0.0023062989827188985,0.00245731455159705
49800000,0.0022915159312714797,0.002457482627764131
49900000,0.002298034149253729,0.0025696451964056476
50000000,0.002344866362250878,0.002486651918012419
